NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
812;812;495;RECETTES;CAC;01/01/2012;30/06/2012;29 133 476,000000;29 133 476,000000;
557;557;279;RECETTES;CAC;01/01/2007;31/12/2007;131 322 371,000000;131 322 371,000000;
813;813;496;RECETTES;CAC;01/01/2007;31/12/2007;71 109 688,000000;71 109 688,000000;
558;558;280;RECETTES;CAC;01/01/2008;31/12/2008;102 495 661,000000;102 495 661,000000;
814;814;497;RECETTES;CAC;01/01/2008;31/12/2008;89 516 606,000000;89 516 606,000000;
559;559;281;RECETTES;CAC;01/01/2009;31/12/2009;27 209 028,000000;27 209 028,000000;
815;815;498;RECETTES;CAC;01/01/2010;31/12/2010;149 645 645,000000;149 645 645,000000;
560;560;282;RECETTES;CAC;01/01/2010;31/12/2010;49 912 056,000000;49 912 056,000000;
816;816;499;RECETTES;CAC;01/01/2011;31/12/2011;190 851 684,000000;190 851 684,000000;
561;561;283;RECETTES;CAC;01/01/2011;31/12/2011;55 007 152,000000;55 007 152,000000;
817;817;500;RECETTES;CAC;01/01/2012;31/12/2012;121 832 963,000000;121 832 963,000000;
562;562;284;RECETTES;CAC;01/01/2012;30/06/2012;35 733 860,000000;35 733 860,000000;
818;818;501;RECETTES;CAC;01/01/2008;31/12/2008;46 616 324,000000;46 616 324,000000;
563;563;285;RECETTES;CAC;01/01/2007;31/12/2007;11 040 217,000000;11 040 217,000000;
819;819;502;RECETTES;CAC;01/01/2009;31/12/2009;58 683 074,000000;58 683 074,000000;
564;564;286;RECETTES;CAC;01/01/2008;31/12/2008;8 360 918,000000;8 360 918,000000;
820;820;503;RECETTES;CAC;01/01/2010;31/12/2010;98 100 977,000000;98 100 977,000000;
565;565;287;RECETTES;CAC;01/01/2009;31/12/2009;9 086 591,000000;9 086 591,000000;
821;821;504;RECETTES;CAC;01/01/2011;31/12/2011;165 278 632,000000;165 278 632,000000;
